Id,P_D1S1,P_D1S2,P_D1S3,P_D2S1,P_D2S2,P_D2S3,P_D3S1,P_D3S2,P_D3S3,P_D4S1,P_D4S2,P_D4S3,P_D5S1,P_D5S2,P_D5S3,P_D6S1,P_D6S2,P_D6S3,P_D7S1,P_D7S2,P_D7S3,FR_D1S1,FR_D1S2,FR_D1S3,FR_D2S1,FR_D2S2,FR_D2S3,FR_D3S1,FR_D3S2,FR_D3S3,FR_D4S1,FR_D4S2,FR_D4S3,FR_D5S1,FR_D5S2,FR_D5S3,FR_D6S1,FR_D6S2,FR_D6S3,FR_D7S1,FR_D7S2,FR_D7S3,S_D1S1,S_D1S2,S_D1S3,S_D2S1,S_D2S2,S_D2S3,S_D3S1,S_D3S2,S_D3S3,S_D4S1,S_D4S2,S_D4S3,S_D5S1,S_D5S2,S_D5S3,S_D6S1,S_D6S2,S_D6S3,S_D7S1,S_D7S2,S_D7S3,fitness,mismatchWorkerRequirments,mismatchFirmRequirments
0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,5,5,8,6,7,5,7,6,5,7,9,9,8,7,7,7,7,6,7,8,6,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,170,0,147
1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,5,5,8,6,7,5,7,6,5,7,9,9,8,7,7,7,7,6,7,8,6,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,160,0,147
2,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,5,5,8,6,7,5,7,6,5,7,9,9,8,7,7,7,7,6,7,8,6,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,150,0,147
3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,5,8,6,7,5,7,6,5,7,9,9,8,7,7,7,7,6,7,8,6,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,80,0,147
4,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,5,5,8,6,7,5,7,6,5,7,9,9,8,7,7,7,7,6,7,8,6,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,160,0,147
5,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,5,5,8,6,7,5,7,6,5,7,9,9,8,7,7,7,7,6,7,8,6,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,150,0,147
6,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,5,5,8,6,7,5,7,6,5,7,9,9,8,7,7,7,7,6,7,8,6,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,170,0,147
7,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,5,5,8,6,7,5,7,6,5,7,9,9,8,7,7,7,7,6,7,8,6,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,140,0,147
8,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,5,5,8,6,7,5,7,6,5,7,9,9,8,7,7,7,7,6,7,8,6,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,150,0,147
9,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,5,5,8,6,7,5,7,6,5,7,9,9,8,7,7,7,7,6,7,8,6,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,140,0,147
